threshold,topN,train_NPV,train_NPV_std,val_NPV,val_NPV_std,test_NPV,test_NPV_std,ext_NPV,ext_NPV_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.85,Top70,0.9905910378310048,0.0071623760814664,0.9905910378310048,0.0071623760814664,0.8172592345843512,0.0265659815139851,0.7988150156027808,0.0394927392919991,0.4385714285714286,0.1358645784355487,0.7176556776556777,0.130727771718719,0.7516508155753007,0.0358208122577766,0.804248464528162,0.0367073911697549
0.8,Top140,0.993763814991118,0.0028876105630509,0.993763814991118,0.0028876105630509,0.8317976813778847,0.034177142265946,0.7935757575757576,0.0199409712003969,0.3666666666666666,0.1263812574008591,0.6704761904761904,0.1574005823072379,0.7496259806604634,0.0283657006217455,0.8077421217620854,0.025304749067476
0.3,Top80,1.0,0.0,1.0,0.0,0.9466588693957116,0.0375188968444757,0.7916666666666666,0.25,,,,,,,1.0,0.0
0.9,Top100,0.985065952748063,0.0033895397656399,0.985065952748063,0.0033895397656399,0.8031440167535557,0.0273722759793053,0.7891273036345787,0.0307441418416377,0.5371428571428571,0.0766651877999927,0.8147159342205782,0.050872115010229,0.7631662564789619,0.0310149472953823,0.8025484063185455,0.0311761939012658
0.9,Top120,0.9847416225077056,0.0039489846635431,0.9847416225077056,0.0039489846635431,0.8147852316074612,0.0231948021748665,0.7864994352238208,0.0202020698088055,0.5071428571428571,0.1437472271249864,0.7877944862155388,0.1210958738023023,0.7563185161408341,0.0217985219320912,0.8005487320035864,0.0251600671351089
0.8,Top80,0.993469995638726,0.0040936037489741,0.993469995638726,0.0040936037489741,0.8412579538984535,0.0216658085480012,0.7855998523440384,0.0230989291255808,0.3942857142857143,0.1451072791040463,0.6689915966386554,0.1317976881632725,0.7420735639900725,0.0265754786336593,0.7963827838827838,0.0215442445545545
0.9,Top50,0.988403853074342,0.0110770159498343,0.988403853074342,0.0110770159498343,0.8179628199263703,0.0329822831556873,0.7842338217338217,0.0382578045162327,0.5261904761904762,0.1598078494719031,0.7841353383458646,0.120959311154854,0.7492764490411549,0.0295442015374099,0.7931993794468518,0.0311382956184149
0.85,Top140,0.9885839633957474,0.0050676062568591,0.9885839633957474,0.0050676062568591,0.8362456518128856,0.0289047773651051,0.7841134751773049,0.0232179312814254,0.4285714285714285,0.1656003302767089,0.6858333333333333,0.1697526795730254,0.7403364444592067,0.0327446584462111,0.7977818456831504,0.0232667061282426
0.9,Top130,0.9831538812915286,0.0041919109850961,0.9831538812915286,0.0041919109850961,0.8160685170577,0.0291226663508017,0.7834166922348963,0.0152618484734548,0.5178571428571429,0.1515228816828316,0.7899531437288874,0.123059534609309,0.7571929824561403,0.0286203394978859,0.7990719224307868,0.021754434171582
0.9,Top140,0.9834483866367436,0.0025528507508365,0.9834483866367436,0.0025528507508365,0.8086334319204502,0.0254964675089368,0.7794883697713886,0.0224399519513336,0.4928571428571429,0.1392399192115566,0.7603624445729709,0.1100272812187045,0.7445238095238096,0.0276649711839786,0.7937538051322072,0.0275258337099581
0.8,Top10,0.9811616865203538,0.0152341810778751,0.9811616865203538,0.0152341810778751,0.8381654381654382,0.0492477661877422,0.7766603375488776,0.1269455423129392,0.7009090909090909,0.0591258637873058,0.8323120483120483,0.075974192390333,0.7594933964123792,0.1285422399814745,0.7837648367629885,0.1220070147421948
0.9,Top15,0.9605871623852548,0.0066762979844392,0.9605871623852548,0.0066762979844392,0.7842092525963317,0.0143682223657207,0.772752540822901,0.0939714701339509,0.7109090909090909,0.0149378879319591,0.8014258438038926,0.0205048457138722,0.7522191871317367,0.0939120750377933,0.7779360725876509,0.09178134560146
0.95,Top130,0.9724684616254746,0.0054356944212294,0.9724684616254746,0.0054356944212294,0.7899391036120624,0.0176256831050982,0.768254289570079,0.0260586360101422,0.6059523809523809,0.0709807389798278,0.8377696377696378,0.0358537097895842,0.7551008341933264,0.0258149661152134,0.7807880052480991,0.0274166992843406
0.3,Top100,0.999655172413793,0.0007710579232757,0.999655172413793,0.0007710579232757,0.9432309520544816,0.0406972683859965,0.7666666666666666,0.2516611478423583,,,,,,,1.0,0.0
0.85,Top80,0.9850631569735836,0.004361727908754,0.9850631569735836,0.004361727908754,0.8269455946481312,0.032384269788076,0.7644571945467468,0.0142136285565127,0.4928571428571429,0.1392399192115566,0.760952380952381,0.1069257058707761,0.7248656603790739,0.0198582098443002,0.7749231260438157,0.0152217625327166
0.95,Top140,0.9739888028418656,0.0040103326751195,0.9739888028418656,0.0040103326751195,0.7912635898912809,0.0197332693727206,0.7605438716026951,0.0298809506905284,0.5892857142857142,0.0550394107407944,0.81292260752215,0.053315816435524,0.7432443084147415,0.0239232806275372,0.7728394378212573,0.0322048086289807
0.9,Top90,0.984432482533576,0.0042739194672444,0.984432482533576,0.0042739194672444,0.8025471721501839,0.0257146791199097,0.7598359171586784,0.0183880955379044,0.4928571428571429,0.1392399192115566,0.7873496240601503,0.0935671540271303,0.7248458673109835,0.016049339025975,0.7686437813884173,0.0185394345458762
