threshold,topN,train_SE,train_SE_std,val_SE,val_SE_std,test_SE,test_SE_std,ext_SE,ext_SE_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.7,Top100,0.9994454244627778,0.0003857239368445,0.9994454244627778,0.0003857239368445,0.9724611834736884,0.0067486662068255,0.9926345609065156,0.0047402834364536,0.6,0.3651483716701107,0.952,0.0438178046004133,0.9866666666666668,0.0094280904158205,0.9930795847750864,0.004893472534163
0.4,Top15,0.9996298010180472,0.0008277900888476,0.9996298010180472,0.0008277900888476,0.994074074074074,0.0132507731999987,0.9920679886685552,0.0177365165354091,0.8,0.4472135954999579,0.952,0.1073312629199898,0.984,0.0357770876399966,0.991695501730104,0.0185694226505172
0.6,Top140,0.9995376328537412,0.0003264605689216,0.9995376328537412,0.0003264605689216,0.9754078065673704,0.0063808333495686,0.9920679886685552,0.0078608707793266,0.6666666666666666,0.3333333333333333,0.96,0.04,0.984,0.0153478192442951,0.991695501730104,0.0079659961475579
0.7,Top60,0.9994447015270708,0.0012416851332715,0.9994447015270708,0.0012416851332715,0.9851361264850758,0.0101311749507465,0.991501416430595,0.0105995959965267,0.5333333333333333,0.5055250296034367,0.944,0.0606630035524124,0.9826666666666666,0.0213957420478415,0.9910034602076124,0.0111050564262153
0.2,Top10,0.9998149005090236,0.0004138950444238,0.9998149005090236,0.0004138950444238,0.9896677559912854,0.012634134668888,0.9903682719546744,0.0135267267833578,0.8,0.2981423969999719,0.928,0.0995991967839098,0.9773333333333334,0.0318328970301688,0.9882352941176472,0.0165222648945512
0.7,Top50,0.9992592149786086,0.0014110990261805,0.9992592149786086,0.0014110990261805,0.9822032729441588,0.0150640980327152,0.9903682719546744,0.0121185550346784,0.5333333333333333,0.5055250296034367,0.944,0.0606630035524124,0.98,0.0249443825784928,0.9896193771626296,0.0129469113729201
0.7,Top90,0.9996299689571576,0.0002068582479894,0.9996299689571576,0.0002068582479894,0.9716952805768304,0.0093952417656368,0.9903682719546744,0.0032299587113289,0.2,0.1825741858350553,0.904,0.0219089023002066,0.9813333333333334,0.0055777335102272,0.9903114186851212,0.0028950173928514
0.7,Top70,0.999721576648564,0.0004154104916603,0.999721576648564,0.0004154104916603,0.9754880469345472,0.0123658285767997,0.9898016997167138,0.0065217362227883,0.2,0.2981423969999719,0.904,0.0357770876399966,0.9786666666666668,0.0128235893744475,0.9889273356401383,0.0066558422358723
0.5,Top15,0.9994447015270708,0.0012416851332715,0.9994447015270708,0.0012416851332715,0.994074074074074,0.0132507731999987,0.9892351274787536,0.0240709867266266,0.8,0.4472135954999579,0.952,0.1073312629199898,0.9773333333333334,0.0506842074899952,0.9882352941176472,0.0263066820882328
0.8,Top25,0.999907063197026,0.0002078130090613,0.999907063197026,0.0002078130090613,0.9798860420876648,0.0078084703323805,0.9892351274787534,0.0070537674776139,0.2,0.1825741858350553,0.904,0.0219089023002066,0.9760000000000002,0.017384539747207,0.9875432525951556,0.0090231175158513
0.8,Top20,0.9997223909901932,0.0004132774556695,0.9997223909901932,0.0004132774556695,0.979175910126135,0.0067252324805885,0.9892351274787534,0.0070537674776139,0.2,0.1825741858350553,0.904,0.0219089023002066,0.9760000000000002,0.017384539747207,0.9875432525951556,0.0090231175158513
0.7,Top130,0.998797744183471,0.0007015734045178,0.998797744183471,0.0007015734045178,0.9679433235202436,0.0129632705320892,0.9881019830028328,0.0042018121739918,0.3999999999999999,0.2788866755113585,0.928,0.033466401061363,0.9773333333333334,0.0101105005920686,0.9882352941176472,0.0052476646671636
0.8,Top30,0.999907063197026,0.0002078130090613,0.999907063197026,0.0002078130090613,0.9776298354224892,0.0093395255958133,0.9875354107648724,0.0073871981928641,0.2,0.1825741858350553,0.904,0.0219089023002066,0.972,0.0184992492340155,0.9854671280276814,0.0096016864536412
0.7,Top140,0.999167988868385,0.0003866294467667,0.999167988868385,0.0003866294467667,0.970196653878842,0.0080521686410437,0.9875354107648724,0.0051461479106473,0.5333333333333333,0.2981423969999719,0.944,0.0357770876399966,0.976,0.0121106014163898,0.9875432525951556,0.0062857792818632
0.7,Top120,0.9991677752263132,0.0006859222543006,0.9991677752263132,0.0006859222543006,0.9701660450996308,0.0101064672570061,0.9875354107648724,0.0042962467105107,0.3333333333333333,0.3333333333333333,0.92,0.04,0.9746666666666668,0.0086922698736035,0.9868512110726644,0.0045115587579256
0.3,Top10,0.9998149005090236,0.0004138950444238,0.9998149005090236,0.0004138950444238,0.9881917211328975,0.0134294000463451,0.9869688385269122,0.0154644125370608,0.6666666666666666,0.3333333333333333,0.912,0.1035374328443582,0.9693333333333334,0.0363929175038832,0.9840830449826988,0.018889057527967
0.6,Top15,0.999074502545118,0.0020694752221191,0.999074502545118,0.0020694752221191,0.9881250569513822,0.016432803689771,0.9869688385269122,0.0291385628796007,0.8,0.4472135954999579,0.944,0.1252198067399882,0.972,0.0626099033699941,0.9854671280276815,0.0324964896384052
0.85,Top40,0.9996299689571576,0.0002068582479894,0.9996299689571576,0.0002068582479894,0.9701995301854194,0.0088722238761423,0.9858356940509916,0.0066436483850189,0.2,0.1825741858350553,0.904,0.0219089023002066,0.9693333333333334,0.0138242942355517,0.9840830449826988,0.0071752392226046
