threshold,topN,train_FP,train_FP_std,val_FP,val_FP_std,test_FP,test_FP_std,ext_FP,ext_FP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.7,Top70,11.2,8.46758525200662,11.2,8.46758525200662,28.2,7.155417527999327,67.0,8.093207028119323,8.0,0.0,35.2,1.483239697419133,58.0,5.244044240850758,65.4,7.569676347110224
0.7,Top80,6.0,1.4142135623730951,6.0,1.4142135623730951,26.2,5.449770637375485,62.8,4.024922359499623,7.8,0.44721359549995787,33.8,2.16794833886788,54.4,2.408318915758459,61.2,3.492849839314595
0.7,Top90,5.8,1.6431676725154984,5.8,1.6431676725154984,27.0,5.477225575051661,64.6,2.5099800796022262,8.0,0.7071067811865475,34.4,2.4083189157584592,55.8,1.7888543819998313,63.0,2.0
0.8,Top10,18.0,15.313392831113555,18.0,15.313392831113555,20.2,7.362064927722384,30.2,13.79130160644745,2.6,2.0736441353327724,12.0,4.847679857416329,24.0,11.726039399558575,28.8,13.255187663703596
0.8,Top100,1.6,0.8944271909999159,1.6,0.8944271909999159,23.2,5.761944116355173,56.8,6.723094525588646,7.2,0.8366600265340756,31.0,2.91547594742265,49.8,5.585696017507577,55.4,6.3874877690685254
0.8,Top120,1.8,1.3038404810405297,1.8,1.3038404810405297,23.2,5.974947698515862,54.4,5.683308895353129,7.0,0.7071067811865476,30.4,3.361547262794322,47.2,4.381780460041328,53.0,5.1478150704934995
0.8,Top130,1.8,1.3038404810405297,1.8,1.3038404810405297,23.4,5.029910535983717,54.4,6.228964600958975,5.6,1.3416407864998738,28.6,4.33589667773576,47.4,5.319774431308154,53.2,6.016643582596529
0.8,Top140,1.8,1.3038404810405297,1.8,1.3038404810405297,22.2,4.494441010848846,56.4,5.94138031100518,7.2,1.0954451150103324,31.2,3.4205262752974144,49.4,5.504543577809154,55.0,5.477225575051661
0.8,Top15,40.8,20.680909070928195,40.8,20.680909070928195,23.4,7.231873892705818,42.0,10.63014581273465,4.6,2.5099800796022267,18.4,5.319774431308154,34.2,9.654014708917735,40.2,10.232301793829187
0.8,Top20,43.0,5.999999999999999,43.0,5.999999999999999,24.8,6.260990336999411,50.0,7.483314773547883,5.6,1.3416407864998738,22.8,3.6331804249169894,41.6,7.197221686178632,48.0,7.483314773547883
0.8,Top25,33.6,9.864076236526156,33.6,9.864076236526156,26.2,6.534523701081817,52.0,9.0,5.6,1.3416407864998738,25.4,5.412947441089743,44.0,8.18535277187245,50.0,9.0
0.8,Top30,26.8,6.180614856144977,26.8,6.180614856144977,26.0,6.6332495807108,50.4,7.635443667528431,5.6,1.3416407864998738,25.4,5.319774431308154,42.4,6.913754406977442,48.6,7.536577472566709
0.8,Top40,21.0,8.602325267042627,21.0,8.602325267042627,26.4,7.021395872616783,59.8,3.7013511046643504,7.2,0.8366600265340757,30.8,1.7888543819998317,51.4,2.8809720581775875,58.2,3.1937438845342614
0.8,Top50,13.2,12.716131487209465,13.2,12.716131487209465,26.0,7.874007874011811,55.0,10.319883720275147,6.4,1.51657508881031,29.2,5.585696017507576,47.4,8.532291603080617,53.4,9.787747442593725
0.8,Top60,10.2,8.5848704125339,10.2,8.5848704125339,25.0,8.94427190999916,56.6,11.631852818876277,7.2,1.3038404810405297,31.4,6.024948132556828,49.8,10.47377677822093,55.2,11.256109452204168
0.8,Top70,4.0,3.9999999999999996,4.0,3.9999999999999996,22.6,6.6558245169174945,55.6,8.41427358718505,7.0,1.224744871391589,31.6,4.615192303685731,49.0,8.154753215150047,54.2,8.04363102087608
0.8,Top80,1.2,0.8366600265340756,1.2,0.8366600265340756,22.2,5.761944116355173,50.4,4.098780306383841,6.8,1.3038404810405297,30.6,4.393176527297759,44.4,4.159326868617084,49.0,3.807886552931955
0.8,Top90,1.6,0.8944271909999159,1.6,0.8944271909999159,22.6,6.58027355054484,53.8,5.805170109479998,7.0,1.0,31.6,4.03732584763727,47.4,5.9833101206606365,52.4,5.549774770204644
0.85,Top10,9.4,6.308724118235001,9.4,6.308724118235001,16.2,6.906518659932803,23.0,6.6332495807108,1.0,0.0,8.4,1.6733200530681511,17.2,5.215361924162119,21.6,6.148170459575759
0.85,Top100,1.2,0.8366600265340756,1.2,0.8366600265340756,19.6,4.219004621945797,50.4,6.50384501660364,6.0,1.414213562373095,28.4,3.6469165057620936,44.4,6.06630035524124,49.2,6.260990336999411
0.85,Top120,1.8,1.3038404810405297,1.8,1.3038404810405297,20.0,4.847679857416329,48.6,6.348228099241552,5.8,1.3038404810405297,27.8,4.711687595755898,42.4,6.2289646009589745,47.2,5.890670590009257
0.85,Top130,0.8,0.8366600265340756,0.8,0.8366600265340756,19.8,4.658325879540846,47.6,7.829431652425353,5.6,1.3416407864998738,26.8,5.403702434442518,41.6,7.797435475847172,46.4,7.6681158050723255
0.85,Top140,1.6,1.51657508881031,1.6,1.51657508881031,19.2,4.764451699828638,50.6,8.17312669668102,6.4,1.5165750888103104,29.6,4.505552130427524,45.0,7.44983221287567,49.6,7.668115805072325
0.85,Top15,22.2,10.61602562167217,22.2,10.61602562167217,19.4,5.683308895353129,34.2,9.038805230781334,3.4,1.9493588689617927,14.6,4.8270073544588685,27.4,8.532291603080617,32.4,8.677557259966656
0.85,Top20,19.4,3.049590136395381,19.4,3.049590136395381,21.6,7.021395872616783,38.4,6.268971207462991,4.2,1.4832396974191326,18.2,3.6331804249169894,31.6,6.268971207462991,36.6,6.348228099241551
0.85,Top25,14.8,4.8166378315169185,14.8,4.8166378315169185,22.4,7.368853370776216,43.6,8.142481194328912,5.6,1.3416407864998738,22.6,4.669047011971501,37.6,7.503332592921628,42.0,7.7781745930520225
0.85,Top30,11.6,3.209361307176242,11.6,3.209361307176242,22.6,6.841052550594828,41.6,6.58027355054484,5.4,0.8944271909999159,23.0,4.0,35.8,5.93295878967653,40.0,6.244997998398398
