threshold,topN,train_TN,train_TN_std,val_TN,val_TN_std,test_TN,test_TN_std,ext_TN,ext_TN_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.6,Top20,397.8,22.764006677208652,397.8,22.764006677208652,35.8,4.147288270665545,6.4,2.4083189157584592,0.8,0.4472135954999579,2.0,1.5811388300841898,3.0,1.5811388300841898,6.4,2.4083189157584592
0.6,Top25,408.4,16.33401359127633,408.4,16.33401359127633,36.2,6.534523701081816,5.6,1.51657508881031,0.8,0.4472135954999579,1.0,0.7071067811865476,2.2,1.0954451150103324,5.6,1.51657508881031
0.6,Top30,433.8,15.738487856207788,433.8,15.738487856207788,37.4,6.107372593840989,5.0,1.7320508075688774,0.6,0.5477225575051662,0.8,0.8366600265340756,2.4,1.6733200530681511,5.0,1.7320508075688774
0.6,Top40,449.0,32.14809481135702,449.0,32.14809481135702,36.2,5.890670590009256,4.0,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.7071067811865476
0.6,Top50,506.0,95.64517760974674,506.0,95.64517760974674,39.6,10.430723848324238,9.8,8.87130204648675,0.2,0.447213595499958,1.2,1.7888543819998317,5.2,5.761944116355173,9.4,8.324662155306964
0.6,Top60,528.4,64.03748902010446,528.4,64.03748902010446,41.4,10.667708282475669,9.8,9.418067742376884,0.0,0.0,1.4,1.9493588689617927,5.4,6.6558245169174945,9.4,8.905054744357274
0.6,Top70,579.6,28.684490582891662,579.6,28.684490582891662,45.2,8.228000972289685,12.2,9.093954035511725,0.4,0.5477225575051661,1.0,1.7320508075688772,7.0,6.96419413859206,11.8,8.555699854482976
0.6,Top80,595.8,6.457553716385175,595.8,6.457553716385175,48.2,6.058052492344383,14.8,4.494441010848846,0.2,0.447213595499958,1.0,1.0,9.0,3.082207001484488,14.4,3.9749213828703582
0.6,Top90,596.4,7.30068489937759,596.4,7.30068489937759,47.8,6.457553716385177,12.0,3.0822070014844885,0.0,0.0,0.8,1.0954451150103324,7.0,2.345207879911715,11.6,2.6076809620810595
0.7,Top10,563.2,51.11457717716152,563.2,51.11457717716152,53.6,6.348228099241551,45.6,17.052858997833766,4.6,2.5099800796022267,21.6,6.348228099241552,36.6,14.741099009232657,45.0,16.507574019219177
0.7,Top100,601.0,8.485281374238575,601.0,8.485281374238575,51.2,5.932958789676531,18.0,7.000000000000001,0.6,0.5477225575051661,4.0,2.449489742783178,12.0,5.431390245600108,17.6,6.50384501660364
