model,feat,train_roc,train_roc_std,val_roc,val_roc_std,test_roc,test_roc_std,ext_roc,ext_roc_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
xgb,Property,0.9991988950357564,0.00013540786214,0.9991988950357564,0.00013540786214,0.8858889558730763,0.0286866195935646,0.8004721435316335,0.0154390755434112,0.3481481481481481,0.0619748167803018,0.4591578947368421,0.059687088021232,0.6270610328638497,0.0277079162925104,0.7788886627315286,0.0154528876207853
xgb,Charge,0.9997743383844974,4.0882221644494377e-05,0.9997743383844974,4.0882221644494377e-05,0.9217204514531584,0.0218541386347306,0.79708573475302,0.0143487696771296,0.0888888888888888,0.0496903994999953,0.515157894736842,0.0605176195125696,0.6377652582159624,0.0187583685689495,0.768687156523509,0.0181272621030366
fcnn,PharmacoPFP,0.9433725313914938,0.0117350712828054,0.9433725313914938,0.0117350712828054,0.9073715457348432,0.0282753318370838,0.7952460030607925,0.0281317855180747,0.0148148148148148,0.0202860206483394,0.5555789473684211,0.0894749225920491,0.621830985915493,0.0544963858354119,0.7656381029920618,0.0336080765516266
rf,MACCSFP,0.998175660775974,0.0001910177600665,0.998175660775974,0.0001910177600665,0.9233423926076664,0.024470430459014,0.794627332226238,0.0077871701457956,0.1925925925925925,0.0482903881866862,0.3792631578947368,0.0477377415339163,0.6520657276995305,0.0148788520258512,0.7625239161408508,0.009244951544367
DMPNN,Fragment,0.988531987485001,0.0035852832636136,0.988531987485001,0.0035852832636136,0.9359882390922564,0.0258861842782102,0.7942235681026342,0.0404571148770376,0.6074074074074074,0.2161022862917636,0.612421052631579,0.1366897937777056,0.6765070422535212,0.0684812421102499,0.7700793812334623,0.0444923512803932
rf,Path,0.999105701114964,0.0001426536945628,0.999105701114964,0.0001426536945628,0.8715724261688365,0.0234761000609714,0.7920549640194067,0.011097177114188,0.1407407407407407,0.0662538659999937,0.5110526315789474,0.0232146433870957,0.6015211267605635,0.0110355905131309,0.7566985548544677,0.0124577667341817
fcnn,Autocorr,0.9681273750927822,0.0293220150111314,0.9681273750927822,0.0293220150111314,0.9152203699039588,0.0341841108747992,0.7880987268405457,0.0631965628663714,0.4296296296296296,0.1188652335991201,0.4381052631578948,0.1159410491146517,0.6271361502347418,0.0972018761201936,0.757003867290861,0.070699229638184
svm,MorganFP,0.9884509800213526,0.0011289300849143,0.9884509800213526,0.0011289300849143,0.9100514593641676,0.0197179717890015,0.7875288984402982,0.0511465333236845,0.0222222222222222,0.0331269329999968,0.5276842105263158,0.1171272007837415,0.7026384976525821,0.069451794537079,0.7749847343781804,0.05951621482955
xgb,MACCSFP,0.9937871816829986,0.0004275267014835,0.9937871816829986,0.0004275267014835,0.9229797465213084,0.0284540584051906,0.7833186806030412,0.003538371342193,0.2074074074074073,0.0422287194481162,0.4973684210526315,0.033370247335047,0.6816525821596244,0.01906410854253,0.7582495420313455,0.0077602282976158
fcnn,RDkitFP,0.974239093567722,0.0084745164730203,0.974239093567722,0.0084745164730203,0.9268363124916156,0.0347989919948974,0.7828758425319917,0.0313689209286206,0.1037037037037037,0.0165634664999984,0.3787368421052631,0.0824668152851115,0.5804600938967136,0.045412512390331,0.7487156523509058,0.0356563494679985
log,MHFP6,1.0,0.0,1.0,0.0,0.9009816490723483,0.0201071350282659,0.7801308977239425,0.0311190290104937,0.2814814814814814,0.1000685636007874,0.5818947368421054,0.0816464915626356,0.6496713615023475,0.0573680105006213,0.756735192346835,0.034353019459395
log,Charge,0.8102240012231577,0.006373401106373,0.8102240012231577,0.006373401106373,0.8014891053280448,0.0249607309121928,0.7795871186219921,0.0090603220299212,0.0740740740740741,0.0,0.5997894736842107,0.0203487597204514,0.6371455399061032,0.0130307868621413,0.7543903928353348,0.0102920073087896
xgb,InfoContent,0.9996813641106276,4.28629172684637e-05,0.9996813641106276,4.28629172684637e-05,0.8734664920844006,0.0242419815275692,0.776894272410537,0.0195153951578052,0.1925925925925926,0.0662538659999937,0.3393684210526316,0.0703674565930048,0.6181690140845071,0.0283630251554875,0.7539385304294729,0.0197092414284923
svm,Property,0.7961157801328835,0.0074050613503078,0.7961157801328835,0.0074050613503078,0.7984377358673265,0.0342573134614151,0.7767510012699033,0.0138326051053413,0.0740740740740741,0.0,0.4069473684210526,0.0377893270778566,0.5925727699530516,0.0256666799774283,0.75774068797069,0.0154307937908289
rf,PubChemFP,0.9985659867707012,0.0001358873586482,0.9985659867707012,0.0001358873586482,0.9326975834769808,0.0220842740527081,0.7748266093582103,0.0099644192284172,0.0740740740740741,0.0,0.2742105263157894,0.0510526315789473,0.5234272300469482,0.0233797867474055,0.7411276205984124,0.0121028783406494
