model,feat,train_FN,train_FN_std,val_FN,val_FN_std,test_FN,test_FN_std,ext_FN,ext_FN_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,EstateFP,31.0,13.67885635245546,31.0,13.67885635245546,12.4,2.065591117977289,16.4,14.12011960918808,1.4,0.5163977794943222,2.0,1.1547005383792517,13.6,13.993649353268154,16.4,14.12011960918808
fcnn,PharmacoPFP,63.8,9.497368056467012,63.8,9.497368056467012,9.6,2.9664793948382653,16.2,3.1144823004794877,3.0,0.0,5.0,0.7071067811865476,14.6,2.3021728866442674,15.2,3.1144823004794877
svm,InfoContent,79.2,16.84339633209407,79.2,16.84339633209407,11.6,4.929503017546495,15.6,2.8809720581775866,2.8,0.4472135954999579,2.8,0.4472135954999579,15.6,2.8809720581775866,15.6,2.8809720581775866
svm,MorganFP,10.0,1.8708286933869709,10.0,1.8708286933869709,11.2,2.280350850198276,15.6,5.176871642217914,3.0,0.0,3.6,0.5477225575051661,12.2,4.207136793592526,14.6,5.176871642217914
xgb,MHFP6,0.0,0.0,0.0,0.0,9.6,0.8944271909999159,14.2,3.7013511046643495,0.6,0.5477225575051661,1.0,1.224744871391589,12.6,4.159326868617084,13.6,3.781534080237808
DMPNN,MOE,31.4,14.721111069179225,31.4,14.721111069179225,11.0,2.309401076758503,13.4,4.402019738458447,2.0,0.0,4.2,1.5491933384829668,12.6,4.695151163109069,13.0,4.371625682868
DMPNN,Property,42.0,19.470775822013643,42.0,19.470775822013643,15.6,4.880801391392834,13.2,11.764352935882194,1.8,0.4216370213557839,3.8,0.4216370213557839,12.2,10.293471501663351,12.6,11.107554986484551
xgb,MOE,4.6,1.3416407864998738,4.6,1.3416407864998738,13.6,3.2093613071762426,13.2,2.774887385102321,2.0,0.0,2.8,0.447213595499958,12.0,2.9154759474226504,12.8,2.949576240750525
fcnn,RDkitFP,44.8,8.318653737234168,44.8,8.318653737234168,11.8,2.774887385102321,13.0,6.670832032063167,1.2,0.8366600265340756,1.6,1.140175425099138,13.0,6.670832032063167,13.0,6.670832032063167
DMPNN,Fragment,29.2,7.254117604658903,29.2,7.254117604658903,13.2,2.14993539954628,12.8,3.4896672875473063,0.2,0.4216370213557839,1.0,0.9428090415820634,11.8,2.936362072739366,12.6,3.627058802329452
fcnn,MOE,77.2,4.086563348340512,77.2,4.086563348340512,12.8,2.280350850198276,11.6,2.4083189157584592,2.0,0.0,3.2,0.4472135954999579,11.4,2.3021728866442674,11.4,2.3021728866442674
DMPNN,Topology,49.8,13.002563849743892,49.8,13.002563849743892,16.4,3.025814858109391,11.4,5.232377832092955,1.6,0.8432740427115678,2.8,1.0327955589886444,9.6,5.94792213951879,11.2,5.391351098441527
rf,PubChemFP,31.0,4.79583152331272,31.0,4.79583152331272,15.4,4.219004621945797,10.8,7.854934754662192,1.4,0.5477225575051661,1.4,0.5477225575051661,9.2,7.5960516059331775,10.0,7.842193570679061
DMPNN,InfoContent,27.6,2.2705848487901874,27.6,2.2705848487901874,13.6,2.716206504995115,10.4,8.500980335624043,1.4,0.8432740427115678,3.0,1.4907119849998598,9.4,8.369255907453448,10.4,8.500980335624043
rf,RDkitFP,13.4,3.2093613071762426,13.4,3.2093613071762426,12.2,3.420526275297414,10.4,3.9115214431215897,0.6,0.5477225575051661,0.6,0.5477225575051661,9.6,3.781534080237808,9.6,3.781534080237808
fcnn,TorsionFP,38.4,15.709869509324385,38.4,15.709869509324385,11.4,2.073644135332772,10.0,2.9154759474226504,1.0,0.0,1.0,0.0,10.0,2.9154759474226504,10.0,2.9154759474226504
fcnn,Matrix,117.0,13.228756555322953,117.0,13.228756555322953,14.2,2.774887385102321,9.8,1.4832396974191324,2.0,0.0,3.0,0.0,7.8,1.4832396974191326,8.8,1.4832396974191324
rf,Path,27.8,4.658325879540847,27.8,4.658325879540847,17.4,6.188699378706321,9.6,2.5099800796022267,1.8,0.4472135954999579,1.8,0.4472135954999579,7.0,2.345207879911715,8.8,2.949576240750525
rf,MACCSFP,35.4,4.33589667773576,35.4,4.33589667773576,15.2,4.969909455915671,9.6,2.0736441353327724,0.0,0.0,1.0,0.0,6.2,2.16794833886788,8.8,1.9235384061671343
rf,Constitution,66.2,2.683281572999748,66.2,2.683281572999748,17.6,5.079370039680118,9.4,0.8944271909999159,2.6,0.5477225575051661,2.8,0.8366600265340756,8.4,1.3416407864998738,8.4,1.3416407864998738
rf,Estate,37.0,3.741657386773941,37.0,3.741657386773941,14.6,4.159326868617084,9.4,1.949358868961793,1.0,0.0,1.8,0.4472135954999579,8.4,1.6733200530681511,8.4,1.6733200530681511
rf,MorganFP,13.8,2.7748873851023217,13.8,2.7748873851023217,11.4,2.5099800796022267,9.4,3.049590136395381,2.8,0.4472135954999579,3.0,0.7071067811865476,8.2,2.588435821108957,8.6,3.049590136395381
rf,Connectivity,13.4,3.2093613071762426,13.4,3.2093613071762426,13.0,4.743416490252569,9.0,0.7071067811865476,0.8,0.4472135954999579,0.8,0.4472135954999579,6.6,1.5165750888103102,8.2,0.8366600265340757
rf,MOE,13.4,3.2093613071762426,13.4,3.2093613071762426,11.8,4.324349662087931,8.8,0.4472135954999577,1.2,0.4472135954999579,2.0,0.7071067811865476,8.0,0.7071067811865476,8.0,0.7071067811865476
