model,feat,train_SP,train_SP_std,val_SP,val_SP_std,test_SP,test_SP_std,ext_SP,ext_SP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,AvalonFP,0.9389245852895948,0.0487665448887346,0.9389245852895948,0.0487665448887346,0.7393722943722943,0.0564725505206656,0.3747126436781609,0.0965030589513021,0.0888888888888888,0.0468485579284204,0.0947368421052631,0.041516349355085,0.3014084507042253,0.1197321174031555,0.3741176470588235,0.0974570953224098
xgb,Connectivity,0.9795399502742196,0.0027837667982571,0.9795399502742196,0.0027837667982571,0.6281450216450216,0.091012208189366,0.3747126436781609,0.0524218586252477,0.2444444444444444,0.1217161238900369,0.1999999999999999,0.0959714869937393,0.3267605633802816,0.0678399694579847,0.3788235294117646,0.0508747019069168
xgb,InfoContent,0.9699670793930488,0.0032491578730428,0.9699670793930488,0.0032491578730428,0.6145822510822511,0.0439549929127537,0.3747126436781609,0.0154211584655157,0.2888888888888888,0.0993807989999906,0.0947368421052631,0.047805005591013,0.3323943661971831,0.018896349105632,0.3788235294117646,0.0153392997769474
fcnn,MACCSFP,0.6416863278789311,0.0070975723495249,0.6416863278789311,0.0070975723495249,0.5652857142857143,0.1069016332133119,0.3655172413793103,0.0096167819141847,0.1111111111111111,0.0,0.0789473684210526,0.0,0.352112676056338,0.0172499277660786,0.3670588235294117,0.0153392997769474
rf,Connectivity,0.9943889692754346,0.0018999372213286,0.9943889692754346,0.0018999372213286,0.6058311688311688,0.0717205883118915,0.3517241379310344,0.0208803472696378,0.1111111111111111,0.0,0.0263157894736842,0.0,0.2929577464788732,0.0117839440356911,0.3505882352941176,0.0174498787931662
rf,Charge,0.9947131183840248,0.0021775966142969,0.9947131183840248,0.0021775966142969,0.6317748917748918,0.0380847092888197,0.3448275862068965,0.016255328303139,0.1111111111111111,0.0,0.0736842105263157,0.0220173691193177,0.323943661971831,0.0172499277660787,0.3435294117647058,0.0153392997769473
xgb,PharmacoPFP,0.8492487778627973,0.0112236239430676,0.8492487778627973,0.0112236239430676,0.6757445887445888,0.0743272892217415,0.3425287356321839,0.0559570641132785,0.2666666666666666,0.0608580619450184,0.3052631578947368,0.09775881905793,0.3352112676056337,0.057557230258317,0.3458823529411764,0.0591754180703966
rf,InfoContent,0.9940529083519818,0.0025314644163113,0.9940529083519818,0.0025314644163113,0.529547619047619,0.0303401446340855,0.3425287356321839,0.0297521358748155,0.2222222222222222,0.1571348402636772,0.0999999999999999,0.0570512720754705,0.3126760563380281,0.0364568425508303,0.3411764705882352,0.0288175263856844
svm,MOE,0.5493358479503871,0.0203368485830583,0.5493358479503871,0.0203368485830583,0.5163398268398268,0.0587287877076712,0.3425287356321839,0.0393163939689357,0.2444444444444444,0.1217161238900369,0.2684210526315789,0.0798197415163321,0.2901408450704225,0.0440914812464747,0.3505882352941176,0.0402414855917342
rf,MACCSFP,0.9788652777017413,0.0045325763170011,0.9788652777017413,0.0045325763170011,0.6800064935064934,0.054739692507661,0.3402298850574712,0.0578150636319967,0.0222222222222222,0.0496903994999953,0.031578947368421,0.0117687788289462,0.3014084507042253,0.0483818705276554,0.3388235294117646,0.0548038338769511
svm,MHFP6,1.0,0.0,1.0,0.0,0.5956645021645022,0.0728217278236041,0.3379310344827586,0.0174318975725323,0.2888888888888888,0.0608580619450184,0.3789473684210526,0.0605834970169544,0.3267605633802817,0.0208906999636497,0.3364705882352941,0.0229336337524916
fcnn,EstateFP,0.3912874907571386,0.0238474718233241,0.3912874907571386,0.0238474718233241,0.3698809523809523,0.0519029870819321,0.3379310344827586,0.0102807723103438,0.1111111111111111,0.0,0.0526315789473684,0.0,0.3352112676056338,0.0062987830352106,0.3458823529411764,0.0105226728352931
