model,feat,train_TP,train_TP_std,val_TP,val_TP_std,test_TP,test_TP_std,ext_TP,ext_TP_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
xgb,PharmacoPFP,2122.0,9.407443861113409,2122.0,9.407443861113409,253.0,5.612486080160909,322.8,6.978538528947158,0.0,0.0,17.4,3.286335345030997,125.0,6.89202437604511,261.6,7.635443667528426
rf,PharmacoPFP,2041.8,20.14199592890437,2041.8,20.14199592890437,241.2,6.9785385289471575,322.8,7.9812279756939715,0.0,0.0,19.6,0.547722557505166,127.6,7.266360849833978,263.0,7.582875444051551
DMPNN,MACCSFP,2135.8,25.849134952214108,2135.8,25.849134952214108,255.2,5.865151319446073,321.8,8.8040394769169,0.6,0.5163977794943222,16.6,2.1705094128132942,120.0,7.859884081701064,257.8,8.804039476916902
xgb,EstateFP,2086.8,14.131525041551567,2086.8,14.131525041551567,256.6,3.049590136395387,321.6,2.9664793948382635,2.0,0.7071067811865476,21.2,1.4832396974191329,118.8,2.949576240750524,257.6,2.9664793948382635
svm,Connectivity,2106.2,10.256705123966514,2106.2,10.256705123966514,260.8,5.974947698515866,321.4,2.8809720581775826,1.8,0.4472135954999579,17.4,0.8944271909999154,118.6,2.792848008753787,257.4,2.8809720581775826
svm,Estate,2059.6,13.296616110875744,2059.6,13.296616110875744,255.6,3.209361307176243,321.4,2.190890230020659,2.6,0.5477225575051661,23.2,0.4472135954999576,121.0,1.224744871391588,257.4,2.190890230020659
svm,Autocorr,2128.4,12.759310326189256,2128.4,12.759310326189256,259.6,3.361547262794326,321.2,8.555699854482972,1.6,0.8944271909999159,17.0,1.4142135623730954,127.6,4.09878030638384,258.6,7.30068489937759
rf,AtomPairFP,2148.8,8.167006795638143,2148.8,8.167006795638143,257.8,3.6331804249169912,321.2,3.563705936241091,0.0,0.0,21.0,0.0,119.8,3.6331804249169903,258.8,3.6331804249169934
rf,Charge,2147.2,7.918333157931675,2147.2,7.918333157931675,256.2,7.049822692805824,320.8,1.3038404810405253,0.4,0.5477225575051661,21.4,0.5477225575051664,118.6,1.1401754250991376,257.6,1.1401754250991336
fcnn,EstateFP,2070.6,5.41294744108975,2070.6,5.41294744108975,256.6,4.219004621945804,319.6,5.549774770204649,2.8,0.4472135954999579,22.8,0.4472135954999578,117.4,4.979959839195495,255.6,5.549774770204645
xgb,Property,2150.0,7.615773105863927,2150.0,7.615773105863927,248.4,6.949820141557623,319.6,6.542170893518453,1.2,0.4472135954999579,15.6,2.701851217221259,120.0,7.582875444051551,257.2,7.362064927722383
xgb,AvalonFP,2151.6,7.635443667528436,2151.6,7.635443667528436,256.8,5.761944116355176,318.6,13.296616110875735,1.4,0.5477225575051661,21.4,2.073644135332772,117.0,13.152946437965904,256.0,13.152946437965904
DMPNN,AvalonFP,2140.4,14.75127113166866,2140.4,14.75127113166866,254.4,5.601587076693335,318.6,15.0790509574634,1.8,0.4216370213557839,19.0,1.3333333333333333,118.4,14.025373831421076,256.2,14.748257900888197
fcnn,PharmacoErGFP,2107.2,7.91833315793169,2107.2,7.91833315793169,259.2,5.215361924162116,317.4,1.1401754250991367,0.2,0.4472135954999579,20.4,0.547722557505166,117.4,1.1401754250991385,254.4,1.1401754250991385
xgb,Charge,2156.4,6.877499545619768,2156.4,6.877499545619768,254.8,5.11859355682789,317.2,4.02492235949962,0.2,0.447213595499958,19.8,0.8366600265340757,115.0,3.741657386773941,253.6,4.098780306383839
svm,Charge,2100.4,11.058933040759388,2100.4,11.058933040759388,259.8,4.086563348340514,316.0,3.1622776601683795,1.2,0.4472135954999579,20.8,1.6431676725154984,117.0,2.345207879911715,252.0,3.1622776601683795
svm,AtomPairFP,2157.8,6.685805860178711,2157.8,6.685805860178711,256.2,3.4928498393145984,315.0,8.860022573334676,0.8,0.8366600265340756,16.8,2.683281572999748,117.4,7.733045971672482,252.4,8.87693640846886
rf,PharmacoErGFP,1993.0,13.729530217745966,1993.0,13.729530217745966,238.4,4.449719092257398,313.8,1.3038404810405253,0.6,0.5477225575051662,20.6,0.5477225575051662,115.2,1.0954451150103337,251.2,1.0954451150103286
svm,MHFP6,2162.8,6.6858058601787045,2162.8,6.6858058601787045,253.6,2.190890230020662,313.0,7.905694150420947,1.2,0.4472135954999579,18.2,1.4832396974191324,119.8,5.805170109479997,251.6,6.91375440697744
DMPNN,MAP4,2155.4,6.20394139953698,2155.4,6.20394139953698,255.6,5.521674464226311,312.8,3.224903099319424,0.0,0.0,19.2,0.7888106377466155,112.4,3.3065591380365977,250.0,3.5276684147527884
fcnn,Charge,2076.6,18.742998692845266,2076.6,18.742998692845266,254.4,4.722287581247039,312.8,4.324349662087932,0.4,0.5477225575051661,20.4,1.1401754250991378,114.8,2.280350850198275,248.8,4.324349662087932
svm,TorsionFP,2127.0,6.284902544988303,2127.0,6.284902544988303,258.6,5.594640292279751,312.0,20.03746490951388,0.0,0.0,18.0,3.391164991562634,120.6,12.837445228704969,249.0,19.63415391607186
svm,PharmacoErGFP,2113.4,8.792041856133276,2113.4,8.792041856133276,259.2,8.197560612767676,311.6,3.209361307176242,1.0,0.7071067811865476,21.4,1.5165750888103102,115.0,1.8708286933869704,248.2,3.0331501776206222
xgb,PharmacoErGFP,2109.4,11.436782764396623,2109.4,11.436782764396623,256.8,5.26307894677631,311.4,5.319774431308156,1.8,0.4472135954999579,21.2,0.8366600265340757,113.0,3.24037034920393,248.8,5.215361924162119
log,AtomPairFP,2095.6,9.889388252060913,2095.6,9.889388252060913,245.0,4.3011626335213125,311.4,7.300684899377592,1.0,0.0,17.0,1.224744871391589,116.2,8.378544026261364,249.2,7.395944834840235
xgb,Kappa,2138.8,9.909591313469935,2138.8,9.909591313469935,243.4,8.324662155306966,311.2,4.764451699828635,0.0,0.0,17.8,1.4832396974191326,112.2,4.324349662087932,248.4,4.669047011971502
log,TorsionFP,1953.0,9.137833441248532,1953.0,9.137833441248532,236.2,2.774887385102319,311.0,14.491376746189438,0.0,0.0,18.8,2.280350850198276,120.2,9.338094023943,249.2,14.4810220633766
DMPNN,PharmacoErGFP,2105.6,17.55752450280689,2105.6,17.55752450280689,254.4,8.474799243771033,310.4,4.402019738458445,1.6,0.5163977794943222,21.8,0.4216370213557839,113.8,4.2373996218855225,247.8,4.184627953726726
log,MAP4,2145.4,6.308724118234987,2145.4,6.308724118234987,248.6,5.770615218501403,308.0,5.338539126015651,0.0,0.0,19.0,1.2247448713915887,112.0,4.358898943540674,246.0,4.63680924774785
