model,feat,train_accuracy,train_accuracy_std,val_accuracy,val_accuracy_std,test_accuracy,test_accuracy_std,ext_accuracy,ext_accuracy_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
log,Estate,0.8174792343806428,0.006518573762293108,0.8174792343806428,0.006518573762293108,0.8080691642651298,0.022378407675293605,0.7722727272727272,0.01376830111896456,0.2833333333333333,0.09501461875826155,0.44444444444444436,0.022447834323382456,0.6280542986425339,0.025274642613156442,0.7433155080213905,0.017120653041264314
log,EstateFP,0.7362946912242687,0.009634418941245664,0.7362946912242687,0.009634418941245664,0.7469740634005764,0.02572762434658863,0.6622727272727273,0.00412861411922385,0.2333333333333333,0.037267799624996524,0.22857142857142856,0.024072620457306508,0.4787330316742081,0.008094363719456264,0.618716577540107,0.004857193081439843
log,Fragment,0.7393282773564465,0.003867753191907648,0.7393282773564465,0.003867753191907648,0.7302593659942362,0.033459193714582156,0.5163636363636364,0.020730462274529786,0.3333333333333333,0.0,0.18095238095238092,0.00869400884928832,0.2769230769230769,0.0037857919752673245,0.4668449197860962,0.019702816499401633
log,InfoContent,0.7318887685084868,0.007061211067940954,0.7318887685084868,0.007061211067940954,0.7331412103746398,0.02638107778984624,0.6977272727272726,0.006013071161510447,0.0833333333333333,0.0,0.3015873015873015,0.0194403947839935,0.4733031674208144,0.013036072661437048,0.6524064171122994,0.007074201366482861
log,Kappa,0.7092813289996389,0.006229031531477186,0.7092813289996389,0.006229031531477186,0.7221902017291066,0.027003358559360216,0.6481818181818182,0.011961543060855239,0.0833333333333333,0.0,0.28253968253968254,0.0070986284999993345,0.38099547511312215,0.023814836863241203,0.5967914438502674,0.014072403601006181
log,MACCSFP,0.8142289635247382,0.007586544471933599,0.8142289635247382,0.007586544471933599,0.7988472622478386,0.039112478564434706,0.6472727272727272,0.010587104271683764,0.19999999999999996,0.07453559924999299,0.2349206349206349,0.030532355653446572,0.4271493212669683,0.01303607266143705,0.5951871657754011,0.011438101409736626
log,MAP4,0.9937161430119177,0.0011013326603089744,0.9937161430119177,0.0011013326603089744,0.8910662824207494,0.013578350420045869,0.8263636363636364,0.007639880142714336,0.6666666666666666,0.10206207261596575,0.7142857142857142,0.04761904761904761,0.7049773755656108,0.008703793693063988,0.8026737967914439,0.007886567488637787
log,MHFP6,1.0,0.0,1.0,0.0,0.8708933717579251,0.011235497803814408,0.7822727272727272,0.031753180357405396,0.31666666666666665,0.06972166887783963,0.5333333333333333,0.08518354199999202,0.6479638009049774,0.05192788254459643,0.7550802139037434,0.03639704347804417
log,MOE,0.8218851570964247,0.005864515104105891,0.8218851570964247,0.005864515104105891,0.8115273775216139,0.02893348794930516,0.7877272727272727,0.009453015610493422,0.5166666666666667,0.10865337342004416,0.5365079365079365,0.06955207079430682,0.6298642533936653,0.015477494458359347,0.7609625668449198,0.011121194835874575
log,Matrix,0.7428674611773204,0.005126424545532089,0.7428674611773204,0.005126424545532089,0.7446685878962536,0.031674078764343735,0.7022727272727274,0.026843208661403887,0.0833333333333333,0.0,0.34603174603174597,0.041086282874745354,0.4760180995475113,0.04540696363548269,0.658288770053476,0.031204480130257055
